Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;1;0;0;1;47;0;1;9;0;23;1;9;74;none;none;none;none;none;none
0.0;0;2;0;0;2;61;0;1;10;0;27;1;10;0;none;none;none;none;none;none
0.0;0;1;0;0;1;53;0;1;12;0;25;0;12;66;none;none;none;none;none;none
0.0;0;2;0;0;2;66;0;1;11;0;28;1;11;0;none;none;none;none;none;none
1.0;2;1;0;0;1;63;0;1;13;0;27;0;13;69;none;none;none;none;none;none
0.0;1;1;0;0;1;50;0;1;3;0;16;0;3;0;none;none;none;none;none;none
0.0;0;_;0;0;1;60;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;30;0;1;0;0;11;0;0;66;none;none;none;none;none;none
0.0;0;1;0;0;2;15;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;1;1;0;0;2;32;0;2;1;0;13;0;1;0;none;none;none;none;none;none
0.0;4;1;0;0;1;14;0;1;3;0;15;1;3;0;none;none;none;none;none;none
0.0;1;1;0;0;2;32;0;2;1;0;13;0;1;0;none;none;none;none;none;none
0.0;4;1;0;0;1;14;0;1;3;0;15;1;3;0;none;none;none;none;none;none
0.0;0;1;0;0;2;144;0;6;6;0;18;0;6;83;none;none;none;none;none;none
0.0;1;1;0;0;1;7;0;1;1;0;15;0;1;0;none;none;none;none;none;none
0.0;1;1;1;0;1;13;0;1;2;0;17;0;200;0;none;none;none;none;none;none
0.0;0;1;3;0;0;17;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;14;0;0;0;none;none;none;none;none;none
0.0;0;1;3;0;0;14;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;2;37;0;3;2;0;14;1;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;7;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;10;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;2;308;0;2;14;0;26;0;14;0;none;none;none;none;none;none
0.0;1;_;0;0;1;48;0;1;0;0;11;0;0;61;none;none;none;none;none;none
1.0;4;2;1;0;2;151;0;2;9;0;27;2;900;0;none;none;none;none;none;none
0.0;2;2;0;0;1;41;0;1;8;0;24;0;8;87;none;none;none;none;none;none
0.0;0;1;0;0;2;68;0;6;5;0;16;0;5;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;1;19;0;1;4;0;15;0;4;0;none;none;none;none;none;none
0.0;1;_;0;0;2;19;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;2;142;0;11;5;0;16;0;5;0;none;none;none;none;none;none
0.0;0;1;0;0;1;12;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;10;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;0;1;0;0;0;9;0;2;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;7;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;55;0;3;3;0;14;0;3;88;none;none;none;none;none;none
0.0;1;1;0;0;1;36;0;2;4;0;15;0;4;0;none;none;none;none;none;none
0.0;1;1;0;0;1;18;0;1;4;0;15;0;4;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
