Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;10;5;8;0;2;48;0;1;8;0;41;6;100;0;none;none;none;none;none;none
0.0;7;6;7;0;2;78;0;1;7;0;38;5;100;0;none;none;none;none;none;none
0.0;8;6;7;0;2;85;0;1;7;0;40;5;100;0;none;none;none;none;none;none
3.0;21;2;1;0;1;77;0;1;2;0;48;11;200;55;Refused Bequest;none;none;none;none;none
0.0;6;1;4;0;1;16;0;1;4;0;23;2;100;0;none;none;none;none;none;none
1.0;3;2;3;2;1;30;1;1;3;0;16;0;67;62;none;none;none;none;Data Class;none
1.0;4;2;4;2;1;37;2;1;4;0;18;0;50;73;none;none;none;none;none;none
2.0;20;3;14;2;6;118;1;1;16;0;501;5;107;88;none;none;none;none;none;none
0.0;7;7;4;0;5;95;0;1;4;0;64;3;100;40;none;none;none;none;none;none
0.0;5;7;4;0;5;83;0;1;4;0;63;2;100;40;none;none;none;none;none;none
0.0;7;7;4;0;5;122;0;1;4;0;64;4;100;40;none;none;none;none;none;none
0.0;8;7;4;0;5;110;0;1;4;0;63;3;100;40;none;none;none;none;none;none
0.0;6;7;4;0;5;104;0;1;4;0;64;3;100;40;none;none;none;none;none;none
0.0;6;7;4;0;5;95;0;1;4;0;64;3;100;40;none;none;none;none;none;none
1.0;4;2;2;1;3;23;0;1;3;0;34;2;150;50;none;none;none;none;none;none
4.0;50;5;22;1;5;285;3;1;26;0;565;13;105;91;Refused Bequest;none;none;none;none;none
0.0;3;4;7;7;4;57;1;1;7;0;56;0;86;50;none;Feature Envy;none;none;none;none
0.0;9;23;1;0;6;89;0;1;2;0;530;3;200;50;none;none;none;none;none;Shotgun Surgery
1.0;8;9;1;1;6;89;0;1;1;0;492;4;100;50;none;none;none;none;none;none
2.0;20;7;15;6;5;157;0;1;19;0;510;8;127;87;none;none;none;none;none;none
1.0;17;5;2;4;6;91;1;1;2;0;503;4;50;58;none;none;none;none;Data Class;none
1.0;11;1;0;0;6;45;0;1;0;0;491;1;0;50;none;none;none;none;Data Class;none
1.0;11;1;0;0;6;43;0;1;0;0;491;1;0;50;none;none;none;none;Data Class;none
1.0;16;2;1;1;6;75;0;1;1;0;503;2;100;50;none;none;none;none;Data Class;none
1.0;14;1;1;5;6;63;0;1;1;0;498;2;100;41;none;none;none;none;none;none
0.0;8;1;34;51;1;109;0;1;30;0;67;1;88;88;none;none;none;none;none;none
0.0;2;1;2;1;1;31;0;1;2;0;18;2;100;83;none;none;none;none;none;none
1.0;6;6;30;2;1;203;2;1;34;0;62;4;107;85;none;none;none;none;none;none
0.0;1;1;2;6;0;4;0;1;2;0;2;0;100;0;none;Feature Envy;none;none;none;none
