Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;22;9;23;3;1;279;5;3;27;0;86;10;96;89;none;none;none;none;none;none
0.0;0;1;2;1;1;14;2;1;2;0;13;0;0;33;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;9;0;100;0;none;none;none;none;none;none
2.0;15;6;23;8;1;231;5;3;25;0;69;5;87;86;none;Feature Envy;none;none;none;none
0.0;3;1;1;0;1;11;0;1;1;0;16;2;100;0;none;none;none;none;none;none
0.0;3;1;1;0;1;11;0;1;1;0;16;2;100;0;none;none;none;none;none;none
2.0;8;3;18;9;2;170;3;1;28;0;70;1;139;88;none;Feature Envy;none;none;none;none
2.0;3;3;5;2;3;74;1;1;5;0;64;2;80;57;Refused Bequest;none;none;none;none;none
0.0;5;3;3;0;1;30;0;1;3;0;24;2;100;37;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;5;3;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;20;14;18;5;3;374;5;1;30;0;135;14;139;85;none;none;none;none;none;none
0.0;0;1;1;0;5;11;1;1;1;0;29;0;0;50;none;none;none;none;none;none
0.0;0;1;1;1;5;11;1;1;1;0;29;0;0;50;none;none;none;none;none;none
2.0;25;7;11;0;1;243;0;2;16;0;88;16;145;88;none;none;none;none;none;none
0.0;1;1;1;0;1;7;0;1;1;0;14;0;100;50;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;2;0;0;0;29;0;1;3;0;3;0;3;25;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;8;0;2;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;3;0;1;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;8;0;2;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;3;0;1;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;8;0;2;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;3;0;1;0;0;3;0;0;0;none;none;none;none;none;none
0.0;0;1;3;0;0;12;1;1;3;0;4;0;67;33;none;none;none;none;none;none
0.0;0;_;0;0;1;89;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
1.0;2;4;2;0;3;69;0;1;6;0;43;0;300;83;none;Feature Envy;none;none;none;none
0.0;0;1;0;0;4;18;0;1;0;0;38;0;0;50;Refused Bequest;none;none;none;none;none
0.0;1;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;9;2;0;4;73;0;1;2;0;51;4;100;75;none;none;none;none;none;none
0.0;4;9;6;0;5;86;2;1;7;0;53;1;83;72;none;none;none;none;none;none
1.0;1;5;2;0;5;41;0;1;3;0;46;0;150;40;none;none;none;none;none;none
