Resource,A,AC,AHF,AID,AIF,AIUR,ALD,AOFD,AUF,CA,CBO,CC,CE,CF,CIW,CL,CM,COC,CR,ChC,DAC,DD,DOIH,EC,FO,HDiff,HEff,HPLen,HPVoc,HPVol,I,IUR,JUC,LCOM1,LCOM2,LCOM3,LOC,MDC,MHF,MIC,MIF,MNOB,MNOL,MNOP,MPC,MSOO,NAM,NCC,NIC,NOA,NOAM,NOC,NOCC,NOCON,NOCP,NOED,NOIS,NOLV,NOM,NOO,NOOM,NOP,NOPA,NORM,NOprnd,NOprtr,NUOprnd,NUOprtr,PC,PF,PIS,PPkgM,PPrivM,PProtM,PPubM,PS,PUR,RFC,RMD,TCC,TCR,TRAp,TRAu,TRDp,TRDu,VOD,WCM,WMPC1,WMPC2,WOC
XE210.org.apache.html.dom.HTMLAppletElementImpl.setVspace,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.setWidth,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl,,1,,,,20,,0,0,,1,2,2,,16,67,0,0,20,1,0,3,6,17,1,8,3488,91,32,455,,100,0,136,100,,80,17,,0,,,1,2,,2,0,,,0,0,1,0,1,,2,1,,16,16,16,,0,3,46,45,24,8,,,,0,6,0,94,,,267,,0,25,4,100,0,0,0,0,19,24,100
XE210.org.apache.html.dom.HTMLAreaElementImpl.HTMLAreaElementImpl,,,,0,,,0,,,,,1,,,,,,,56,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,2,1,,,,0,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,125,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getAccessKey,,,,0,,,0,,,,,2,,,,,,,10,,,,,1,,,,,,,,,0,,,,8,1,,,,1,,0,3,,,,0,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getAlt,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getCoords,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getHref,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getNoHref,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAreaElementImpl.getShape,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,2,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
