Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;3;2;5;0;1;31;0;1;5;0;25;1;100;66;none;none;none;none;none;none
2.0;10;6;7;1;3;212;0;1;9;0;118;1;129;71;none;none;none;none;none;none
0.0;20;11;11;1;4;407;0;1;14;0;199;9;127;80;none;none;none;none;none;none
0.0;0;7;5;4;1;57;0;1;5;0;16;0;100;67;none;none;none;none;none;none
0.0;1;4;4;4;1;34;0;1;3;0;15;0;75;58;none;none;none;none;none;none
0.0;0;5;6;9;1;59;0;1;6;0;20;2;100;62;none;Feature Envy;none;none;none;none
0.0;1;1;3;0;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;6;3;8;3;1;61;0;1;8;0;34;3;100;55;none;none;none;none;none;none
0.0;1;1;7;1;0;9;0;1;7;0;7;0;100;0;none;none;none;none;none;none
0.0;18;17;66;41;2;710;0;1;64;0;156;6;97;95;none;none;none;none;none;none
0.0;1;5;3;7;2;39;0;1;3;0;20;0;100;30;none;Feature Envy;none;none;none;none
3.0;11;10;19;9;1;237;0;1;32;0;61;2;168;82;none;Feature Envy;none;none;none;none
0.0;1;1;2;1;0;7;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;2;1;5;3;0;9;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;10;5;4;1;1;85;0;1;5;0;27;1;125;77;none;none;none;none;none;none
0.0;16;7;11;4;2;104;0;1;11;0;80;6;100;66;none;none;none;none;none;none
0.0;2;1;1;3;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;1;6;2;1;28;0;1;6;0;18;0;100;57;none;none;none;none;none;none
0.0;1;1;2;5;1;12;0;1;2;0;14;0;100;0;none;none;none;none;none;none
0.0;1;8;3;0;1;361;0;1;3;0;16;0;100;41;none;none;none;none;none;none
0.0;1;3;3;0;1;131;0;1;3;0;16;0;100;100;none;none;none;none;none;none
0.0;8;4;4;0;2;51;0;1;6;0;55;1;150;62;none;none;none;none;none;none
0.0;1;7;3;0;1;197;0;1;3;0;16;0;100;78;none;none;none;none;none;none
0.0;2;1;3;0;2;24;0;1;3;0;47;0;100;100;none;none;none;none;none;none
0.0;0;1;1;5;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;3;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;7;3;0;1;223;0;1;3;0;16;0;100;82;none;none;none;none;none;none
0.0;1;5;3;0;1;235;0;1;3;0;16;0;100;71;none;none;none;none;none;none
2.0;18;9;13;1;2;152;0;1;14;0;75;5;108;79;none;none;none;none;none;none
0.0;1;4;6;2;1;44;0;1;4;0;17;0;67;72;none;none;none;none;none;none
1.0;13;6;4;0;1;93;0;1;6;0;30;2;150;61;none;none;none;none;none;none
1.0;3;2;14;1;1;145;0;1;13;0;27;1;93;65;none;none;none;none;none;none
3.0;18;1;1;0;0;82;0;1;3;0;26;10;300;100;none;none;none;none;none;none
2.0;22;1;2;0;0;79;0;1;5;0;42;5;250;100;none;none;none;none;none;none
1.0;20;2;2;0;0;100;0;1;4;0;31;7;200;100;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;2;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;5;1;3;1;1;15;0;1;3;0;17;1;100;25;none;none;none;none;none;none
3.0;24;4;12;3;5;200;0;1;14;0;507;5;117;87;Refused Bequest;none;none;none;none;none
2.0;23;2;6;0;5;123;0;1;7;0;494;3;117;67;Refused Bequest;none;none;none;none;none
0.0;3;1;1;0;1;7;0;1;1;0;14;0;100;0;none;none;none;none;none;none
1.0;18;4;3;1;8;97;0;1;4;0;527;5;133;51;Refused Bequest;none;none;none;none;none
1.0;12;2;5;0;7;68;0;1;6;0;508;5;120;28;none;none;none;none;none;none
1.0;15;2;5;1;7;80;0;1;6;0;512;7;120;35;none;none;none;none;none;none
4.0;33;26;7;2;5;368;0;1;15;0;528;11;214;85;Refused Bequest;none;none;none;none;Shotgun Surgery
1.0;14;3;6;0;6;92;0;1;8;0;494;7;133;55;none;none;none;none;none;none
3.0;21;4;7;1;5;136;0;1;9;0;496;5;129;73;Refused Bequest;none;none;none;none;none
2.0;18;7;11;2;6;206;0;1;18;0;515;9;164;79;Refused Bequest;none;none;none;none;none
0.0;7;1;1;1;5;15;0;1;1;0;462;1;100;0;Refused Bequest;none;none;none;none;none
2.0;13;2;5;2;4;51;0;1;5;0;463;2;100;50;none;none;none;none;Data Class;none
0.0;5;1;8;1;1;50;0;1;8;0;25;2;100;0;none;none;none;none;none;none
0.0;3;1;6;2;0;9;0;1;6;0;6;0;100;0;none;none;none;none;none;none
0.0;3;2;5;1;1;49;0;1;6;0;26;3;120;50;none;none;none;none;none;none
0.0;0;_;3;2;0;5;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;4;1;6;0;1;30;0;1;6;0;25;1;100;33;none;none;none;none;none;none
1.0;13;2;6;0;1;41;0;1;6;0;39;6;100;57;none;none;none;none;none;none
1.0;8;1;6;0;1;23;0;1;6;0;27;2;100;0;none;none;none;none;none;none
0.0;7;7;5;0;2;65;0;1;7;0;39;2;140;85;none;none;none;none;none;none
0.0;4;9;14;0;2;105;0;1;14;0;43;2;100;66;none;none;none;none;none;none
0.0;2;4;4;0;3;37;0;1;4;0;33;1;100;0;none;none;none;none;none;none
